symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
DOW,2019-06-26 00:00:00+00:00,50.45,51.22,49.81,49.85,5244396,42.4694189474,43.1176142415,41.9306592224,41.9643317052,5244396,0.0,1.0
DOW,2019-06-27 00:00:00+00:00,50.91,51.14,50.531,50.61,4097246,42.8566524997,43.0502692759,42.5376057251,42.6041088786,4097246,0.0,1.0
DOW,2019-06-28 00:00:00+00:00,49.31,51.2,49.08,51.04,6507386,41.5097531872,43.1007780001,41.316136411,42.9660880688,6507386,0.0,1.0
DOW,2019-07-01 00:00:00+00:00,50.16,50.2,49.52,50.0,4659633,42.225293447,42.2589659298,41.686533722,42.0906035157,4659633,0.0,1.0
DOW,2019-07-02 00:00:00+00:00,49.4,50.06,48.76,50.0,4726195,41.5855162735,42.1411122399,41.0467565485,42.0906035157,4726195,0.0,1.0
DOW,2019-07-03 00:00:00+00:00,49.33,49.65,49.2,49.46,2479359,41.5265894286,41.7959692911,41.4171538595,41.6360249977,2479359,0.0,1.0
DOW,2019-07-05 00:00:00+00:00,49.31,49.37,48.96,49.01,2529919,41.5097531872,41.5602619114,41.2151189626,41.2572095661,2529919,0.0,1.0
DOW,2019-07-08 00:00:00+00:00,48.52,49.5,48.385,49.34,5936049,40.8447216517,41.6696974806,40.7310770222,41.5350075493,5936049,0.0,1.0
DOW,2019-07-09 00:00:00+00:00,47.87,48.43,47.5,48.3,4967429,40.2975438059,40.7689585653,39.9860733399,40.6595229962,4967429,0.0,1.0
DOW,2019-07-10 00:00:00+00:00,47.55,48.42,47.52,48.34,3507432,40.0281639434,40.7605404446,40.0029095813,40.693195479,3507432,0.0,1.0
DOW,2019-07-11 00:00:00+00:00,47.78,48.06,47.18,47.73,4202113,40.2217807196,40.4574880993,39.7166934774,40.1796901161,4202113,0.0,1.0
DOW,2019-07-12 00:00:00+00:00,49.71,50.04,48.08,48.46,4328444,41.8464780153,42.1242759985,40.4743243407,40.7942129274,4328444,0.0,1.0
DOW,2019-07-15 00:00:00+00:00,50.93,50.95,49.66,49.77,4923844,42.8734887411,42.8903249825,41.8043874118,41.8969867395,4923844,0.0,1.0
DOW,2019-07-16 00:00:00+00:00,52.32,52.645,50.95,50.95,6011246,44.0436075188,44.3171964417,42.8903249825,42.8903249825,6011246,0.0,1.0
DOW,2019-07-17 00:00:00+00:00,51.6,52.3,51.23,52.16,4417567,43.4375028282,44.0267712774,43.1260323622,43.9089175876,4417567,0.0,1.0
DOW,2019-07-18 00:00:00+00:00,51.75,52.05,51.28,51.55,3662569,43.5637746388,43.8163182599,43.1681229657,43.3954122247,3662569,0.0,1.0
DOW,2019-07-19 00:00:00+00:00,51.52,51.83,51.5,51.77,3221517,43.3701578626,43.6311196044,43.3533216212,43.5806108802,3221517,0.0,1.0
DOW,2019-07-22 00:00:00+00:00,50.88,51.57,50.6,51.504,2815169,42.8313981376,43.4122484661,42.5956907579,43.3566888695,2815169,0.0,1.0
DOW,2019-07-23 00:00:00+00:00,52.62,52.9,50.95,51.0,4387686,44.2961511399,44.5318585196,42.8903249825,42.932415586,4387686,0.0,1.0
DOW,2019-07-24 00:00:00+00:00,52.79,52.99,52.04,52.5,3516493,44.4392591919,44.607621606,43.8079001392,44.1951336915,3516493,0.0,1.0
DOW,2019-07-25 00:00:00+00:00,50.77,51.99,50.3,51.64,4254577,42.7387988099,43.7658095356,42.3431471368,43.471175311,4254577,0.0,1.0
DOW,2019-07-26 00:00:00+00:00,49.11,50.3,48.92,50.27,5066020,41.3413907731,42.3431471368,41.1814464798,42.3178927747,5066020,0.0,1.0
DOW,2019-07-29 00:00:00+00:00,48.05,48.88,47.98,48.52,4219839,40.4490699786,41.147773997,40.3901431337,40.8447216517,4219839,0.0,1.0
DOW,2019-07-30 00:00:00+00:00,48.4,48.44,47.78,47.78,4194314,40.7437042032,40.777376686,40.2217807196,40.2217807196,4194314,0.0,1.0
DOW,2019-07-31 00:00:00+00:00,48.44,49.43,47.95,48.49,5188502,40.777376686,41.6107706356,40.3648887716,40.8194672895,5188502,0.0,1.0
DOW,2019-08-01 00:00:00+00:00,46.85,48.6,46.78,48.15,5803209,39.4388954942,40.9120666173,39.3799686493,40.5332511856,5803209,0.0,1.0
DOW,2019-08-02 00:00:00+00:00,45.6,47.5,45.37,46.69,5346434,38.3866304063,39.9860733399,38.1930136302,39.304205563,5346434,0.0,1.0
DOW,2019-08-05 00:00:00+00:00,44.77,45.13,44.07,45.06,5147308,37.687926388,37.9909787333,37.0986579388,37.9320518884,5147308,0.0,1.0
DOW,2019-08-06 00:00:00+00:00,44.43,45.45,43.735,45.11,4702804,37.4017102841,38.2603585958,36.8166508952,37.9741424919,4702804,0.0,1.0
DOW,2019-08-07 00:00:00+00:00,44.89,45.0,43.91,44.1,4490080,37.7889438364,37.8815431641,36.9639680075,37.1239123009,4490080,0.0,1.0
DOW,2019-08-08 00:00:00+00:00,46.79,46.82,45.19,45.197,4573351,39.38838677,39.4136411321,38.0414874575,38.047380142,4573351,0.0,1.0
DOW,2019-08-09 00:00:00+00:00,46.64,46.99,46.1,46.42,4472721,39.2621149595,39.5567491841,38.8075364415,39.076916304,4472721,0.0,1.0
DOW,2019-08-12 00:00:00+00:00,45.69,46.8,45.52,46.39,5320263,38.4623934927,39.3968048907,38.3192854407,39.0516619419,5320263,0.0,1.0
DOW,2019-08-13 00:00:00+00:00,46.85,47.76,45.58,45.78,5415836,39.4388954942,40.2049444782,38.3697941649,38.538156579,5415836,0.0,1.0
DOW,2019-08-14 00:00:00+00:00,44.08,46.15,44.0,45.8,6178272,37.1070760595,38.849627045,37.0397310938,38.5549928204,6178272,0.0,1.0
DOW,2019-08-15 00:00:00+00:00,43.38,44.37,42.96,44.34,3494579,36.5178076102,37.3512015598,36.1642465407,37.3259471977,3494579,0.0,1.0
DOW,2019-08-16 00:00:00+00:00,44.51,44.81,42.77,43.29,4586010,37.4690552497,37.7215988708,36.0043022473,36.4420445239,4586010,0.0,1.0
DOW,2019-08-19 00:00:00+00:00,45.6,45.863,45.15,45.36,3615483,38.3866304063,38.6080269808,38.0078149747,38.1845955095,3615483,0.0,1.0
DOW,2019-08-20 00:00:00+00:00,43.16,45.25,43.07,45.25,5973272,36.3326089548,38.0919961817,36.2568458684,38.0919961817,5973272,0.0,1.0
DOW,2019-08-21 00:00:00+00:00,43.28,44.24,43.24,43.85,4398365,36.4336264032,37.2417659907,36.3999539204,36.9134592833,4398365,0.0,1.0
DOW,2019-08-22 00:00:00+00:00,42.05,43.9,42.02,43.32,6074608,35.3981975567,36.9555498868,35.3729431946,36.467298886,6074608,0.0,1.0
DOW,2019-08-23 00:00:00+00:00,40.71,42.02,40.44,42.0,6718214,34.2701693825,35.3729431946,34.0428801235,35.3561069532,6718214,0.0,1.0
DOW,2019-08-26 00:00:00+00:00,40.82,41.35,40.61,41.27,3404507,34.3627687102,34.8089291075,34.1859881755,34.7415841419,3404507,0.0,1.0
DOW,2019-08-27 00:00:00+00:00,41.17,41.73,40.919,41.19,4153371,34.6574029348,35.1288176942,34.4461081052,34.6742391762,4153371,0.0,1.0
DOW,2019-08-28 00:00:00+00:00,42.52,42.64,40.76,41.15,4631788,35.7938492298,35.8948666782,34.312259986,34.6405666934,4631788,0.0,1.0
DOW,2019-08-29 00:00:00+00:00,42.37,43.0,42.21,42.33,3296607,36.2568458684,36.7959493118,36.1199307082,36.2226170784,3296607,0.7,1.0
DOW,2019-08-30 00:00:00+00:00,42.63,43.0,42.27,42.83,4105361,36.4793330038,36.7959493118,36.1712738933,36.6504769541,4105361,0.0,1.0
DOW,2019-09-03 00:00:00+00:00,41.8,42.23,41.15,42.14,3360300,35.7690856101,36.1370451032,35.2128677717,36.0600303256,3360300,0.0,1.0
DOW,2019-09-04 00:00:00+00:00,42.54,42.79,41.85,42.59,2654555,36.4023182262,36.616248164,35.8118715977,36.4451042138,2654555,0.0,1.0
DOW,2019-09-05 00:00:00+00:00,43.36,43.97,43.09,43.15,4044431,37.1040084224,37.6259974707,36.8729640895,36.9243072746,4044431,0.0,1.0
DOW,2019-09-06 00:00:00+00:00,43.24,43.66,42.66,43.54,3217871,37.0013220522,37.3607243478,36.5050045964,37.2580379776,3217871,0.0,1.0
DOW,2019-09-09 00:00:00+00:00,44.45,44.627,43.26,43.53,3639259,38.0367429514,38.1882053474,37.0184364472,37.2494807801,3639259,0.0,1.0
DOW,2019-09-10 00:00:00+00:00,46.32,46.37,44.78,45.1,4702818,39.6369388866,39.6797248742,38.3191304694,38.5929607899,4702818,0.0,1.0
DOW,2019-09-11 00:00:00+00:00,46.88,47.05,45.58,46.52,4444423,40.1161419474,40.2616143052,39.0037062706,39.8080828369,4444423,0.0,1.0
DOW,2019-09-12 00:00:00+00:00,46.97,47.19,45.57,47.07,3649669,40.1931567251,40.3814150704,38.995149073,40.2787287002,3649669,0.0,1.0
DOW,2019-09-13 00:00:00+00:00,48.2,48.44,47.25,47.64,4027252,41.2456920193,41.4510647597,40.4327582555,40.7664889585,4027252,0.0,1.0
DOW,2019-09-16 00:00:00+00:00,49.01,49.98,48.28,48.69,5040105,41.938825018,42.7688731769,41.3141495994,41.6649946975,5040105,0.0,1.0
DOW,2019-09-17 00:00:00+00:00,48.0,49.09,47.61,48.67,4921408,41.074548069,42.0072825981,40.740817366,41.6478803025,4921408,0.0,1.0
DOW,2019-09-18 00:00:00+00:00,47.51,47.9,47.02,47.9,2592233,40.6552453908,40.9889760939,40.2359427126,40.9889760939,2592233,0.0,1.0
DOW,2019-09-19 00:00:00+00:00,47.64,48.41,47.49,48.12,2536357,40.7664889585,41.4253931671,40.6381309958,41.1772344392,2536357,0.0,1.0
DOW,2019-09-20 00:00:00+00:00,48.21,48.85,47.07,47.47,10589641,41.2542492168,41.8019098578,40.2787287002,40.6210166008,10589641,0.0,1.0
DOW,2019-09-23 00:00:00+00:00,47.91,48.215,47.12,47.39,3606911,40.9975332914,41.2585278156,40.3215146878,40.5525590207,3606911,0.0,1.0
DOW,2019-09-24 00:00:00+00:00,46.6,48.0,45.95,47.78,4523839,39.876540417,41.074548069,39.3203225786,40.8862897237,4523839,0.0,1.0
DOW,2019-09-25 00:00:00+00:00,47.68,47.97,46.13,46.55,4415701,40.8007177486,41.0488764765,39.4743521338,39.8337544295,4415701,0.0,1.0
DOW,2019-09-26 00:00:00+00:00,47.23,47.69,46.934,47.51,2998577,40.4156438604,40.8092749461,40.162350814,40.6552453908,2998577,0.0,1.0
DOW,2019-09-27 00:00:00+00:00,47.07,47.88,47.01,47.4,3725668,40.2787287002,40.9718616989,40.2273855151,40.5611162182,3725668,0.0,1.0
DOW,2019-09-30 00:00:00+00:00,47.65,47.79,47.11,47.26,2568066,40.775046156,40.8948469212,40.3129574903,40.441315453,2568066,0.0,1.0
DOW,2019-10-01 00:00:00+00:00,45.97,48.57,45.9,47.94,3844516,39.3374369736,41.5623083274,39.277536591,41.023204884,3844516,0.0,1.0
DOW,2019-10-02 00:00:00+00:00,44.93,45.17,44.36,44.67,4836105,38.4474884321,38.6528611725,37.9597281738,38.2250012967,4836105,0.0,1.0
DOW,2019-10-03 00:00:00+00:00,45.31,45.39,44.37,44.85,3464799,38.7726619377,38.8411195178,37.9682853713,38.379030852,3464799,0.0,1.0
DOW,2019-10-04 00:00:00+00:00,45.34,45.78,45.01,45.18,3589401,38.7983335302,39.1748502208,38.5159460122,38.66141837,3589401,0.0,1.0
DOW,2019-10-07 00:00:00+00:00,45.17,45.77,44.765,45.08,2984406,38.6528611725,39.1662930233,38.3062946731,38.5758463948,2984406,0.0,1.0
DOW,2019-10-08 00:00:00+00:00,43.85,45.05,43.83,44.75,2999723,37.5233111006,38.5501748023,37.5061967055,38.2934588769,2999723,0.0,1.0
DOW,2019-10-09 00:00:00+00:00,44.01,44.54,44.0,44.39,2847753,37.6602262608,38.1137577291,37.6516690633,37.9853997663,2847753,0.0,1.0
DOW,2019-10-10 00:00:00+00:00,44.92,45.29,44.02,44.33,4367724,38.4389312346,38.7555475426,37.6687834583,37.9340565813,4367724,0.0,1.0
DOW,2019-10-11 00:00:00+00:00,47.13,47.72,45.503,45.75,3699287,40.3300718853,40.8349465386,38.9378158497,39.1491786283,3699287,0.0,1.0
DOW,2019-10-14 00:00:00+00:00,46.82,47.27,46.24,46.72,3250767,40.0647987623,40.4498726505,39.5684813065,39.9792267872,3250767,0.0,1.0
DOW,2019-10-15 00:00:00+00:00,47.2,48.1,46.53,46.82,3352271,40.3899722679,41.1601200442,39.8166400344,40.0647987623,3352271,0.0,1.0
DOW,2019-10-16 00:00:00+00:00,47.12,47.92,47.01,47.49,3630939,40.3215146878,41.0060904889,40.2273855151,40.6381309958,3630939,0.0,1.0
DOW,2019-10-17 00:00:00+00:00,47.81,48.54,47.14,47.44,2726017,40.9119613163,41.5366367348,40.3386290828,40.5953450082,2726017,0.0,1.0
DOW,2019-10-18 00:00:00+00:00,47.96,48.191,47.36,47.91,3013731,41.040319279,41.2379905416,40.5268874281,40.9975332914,3013731,0.0,1.0
DOW,2019-10-21 00:00:00+00:00,47.12,48.97,47.09,48.59,3999361,40.3215146878,41.9045962279,40.2958430952,41.5794227224,3999361,0.0,1.0
DOW,2019-10-22 00:00:00+00:00,46.82,47.384,46.02,47.08,4940254,40.0647987623,40.5474247022,39.3802229612,40.2872858977,4940254,0.0,1.0
DOW,2019-10-23 00:00:00+00:00,47.23,47.51,46.55,46.78,4291623,40.4156438604,40.6552453908,39.8337544295,40.0305699723,4291623,0.0,1.0
DOW,2019-10-24 00:00:00+00:00,49.47,49.99,47.84,48.65,6117105,42.3324561037,42.7774303744,40.9376329088,41.6307659075,6117105,0.0,1.0
DOW,2019-10-25 00:00:00+00:00,50.48,50.76,48.9,49.78,5407984,43.1967330526,43.436334583,41.8446958453,42.5977292266,5407984,0.0,1.0
DOW,2019-10-28 00:00:00+00:00,51.21,51.44,50.43,50.75,4542726,43.8214084712,44.018224014,43.153947065,43.4277773855,4542726,0.0,1.0
DOW,2019-10-29 00:00:00+00:00,51.49,51.63,50.37,50.96,3471260,44.0610100016,44.1808107668,43.1026038799,43.6074785333,3471260,0.0,1.0
DOW,2019-10-30 00:00:00+00:00,51.03,51.47,50.33,51.2,3605620,43.6673789159,44.0438956065,43.0683750899,43.8128512736,3605620,0.0,1.0
DOW,2019-10-31 00:00:00+00:00,50.49,51.03,49.71,50.88,3793969,43.2052902501,43.6673789159,42.537828844,43.5390209532,3793969,0.0,1.0
